DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/24/2016,7:05,MANHATTAN,10034,40.8626585,-73.9218559,"(40.8626585, -73.9218559)",,,228 NAGLE AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473524,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,23:47,MANHATTAN,10025,40.8020534,-73.9616986,"(40.8020534, -73.9616986)",,,410 WEST 110 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3468622,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,18:10,MANHATTAN,10029,40.7896243,-73.9400667,"(40.7896243, -73.9400667)",1 AVENUE,EAST 106 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3468097,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,17:00,MANHATTAN,10027,40.818174,-73.9564831,"(40.818174, -73.9564831)",BROADWAY,WEST 132 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3468664,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,16:30,MANHATTAN,10012,40.7209387,-73.993795,"(40.7209387, -73.993795)",SPRING STREET,BOWERY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3468510,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,15:50,MANHATTAN,10019,40.7615615,-73.9765905,"(40.7615615, -73.9765905)",,,33 WEST 54 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471944,PASSENGER VEHICLE,BICYCLE,,,
06/24/2016,10:00,MANHATTAN,10003,40.7323478,-73.9849394,"(40.7323478, -73.9849394)",2 AVENUE,E 14 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3467130,PASSENGER VEHICLE,BICYCLE,,,
06/25/2016,20:23,MANHATTAN,10017,40.7532425,-73.9666173,"(40.7532425, -73.9666173)",EAST 49 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471177,PASSENGER VEHICLE,BICYCLE,,,
06/25/2016,17:35,MANHATTAN,10019,40.7672966,-73.9842311,"(40.7672966, -73.9842311)",,,347 WEST 57 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470308,PASSENGER VEHICLE,BICYCLE,,,
06/25/2016,16:35,MANHATTAN,10016,40.7460781,-73.9749359,"(40.7460781, -73.9749359)",EAST 36 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471187,PASSENGER VEHICLE,BICYCLE,,,
06/26/2016,7:30,MANHATTAN,10035,40.8082795,-73.9387929,"(40.8082795, -73.9387929)",EAST 129 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470385,PASSENGER VEHICLE,BICYCLE,,,
06/26/2016,10:20,MANHATTAN,10006,40.7098381,-74.0148211,"(40.7098381, -74.0148211)",WEST STREET,ALBANY STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473356,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,3:45,MANHATTAN,10030,40.8212629,-73.9460792,"(40.8212629, -73.9460792)",SAINT NICHOLAS AVENUE,WEST 141 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473498,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,19:50,MANHATTAN,10007,40.7131354,-74.0040581,"(40.7131354, -74.0040581)",CENTRE STREET,CHAMBERS STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470236,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,19:30,MANHATTAN,10012,40.7203211,-73.9940403,"(40.7203211, -73.9940403)",DELANCEY STREET,BOWERY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470243,BICYCLE,,,,
06/27/2016,18:52,MANHATTAN,10002,40.7188271,-73.9842317,"(40.7188271, -73.9842317)",RIVINGTON STREET,ATTORNEY STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3469482,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,16:25,MANHATTAN,10006,40.7109059,-74.014457,"(40.7109059, -74.014457)",WEST STREET,LIBERTY STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3468495,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,14:45,MANHATTAN,10001,40.7472771,-73.9896169,"(40.7472771, -73.9896169)",AVENUE OF THE AMERICAS,WEST 30 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473014,PASSENGER VEHICLE,BICYCLE,,,
06/27/2016,14:30,MANHATTAN,10013,40.7155838,-74.0030301,"(40.7155838, -74.0030301)",LAFAYETTE STREET,WORTH STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470248,OTHER,BICYCLE,,,
06/28/2016,22:00,MANHATTAN,10007,40.7171751,-74.0128675,"(40.7171751, -74.0128675)",WEST STREET,CHAMBERS STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470241,PASSENGER VEHICLE,BICYCLE,,,
06/28/2016,21:50,MANHATTAN,10022,40.7545048,-73.9656962,"(40.7545048, -73.9656962)",EAST 51 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3474169,PASSENGER VEHICLE,BICYCLE,,,
06/28/2016,11:50,MANHATTAN,10013,40.7216223,-74.0022079,"(40.7216223, -74.0022079)",GRAND STREET,GREENE STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3470235,PASSENGER VEHICLE,BICYCLE,,,
06/29/2016,20:26,MANHATTAN,10075,40.7733356,-73.9550538,"(40.7733356, -73.9550538)",2 AVENUE,EAST 79 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471231,PASSENGER VEHICLE,BICYCLE,,,
06/29/2016,12:15,MANHATTAN,10003,40.738505,-73.9917978,"(40.738505, -73.9917978)",WEST 18 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471148,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,9:43,MANHATTAN,10007,40.7141646,-74.006309,"(40.7141646, -74.006309)",CHAMBERS STREET,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471897,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,9:30,MANHATTAN,10005,40.7065502,-74.0118736,"(40.7065502, -74.0118736)",EXCHANGE PLACE,NEW STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3472632,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,8:50,MANHATTAN,10026,40.800664,-73.9464607,"(40.800664, -73.9464607)",5 AVENUE,EAST 116 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3472001,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,22:40,MANHATTAN,10019,40.7621589,-73.9877627,"(40.7621589, -73.9877627)",,,338 WEST 49 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471965,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,19:20,MANHATTAN,10002,40.7190695,-73.9933586,"(40.7190695, -73.9933586)",CHRYSTIE STREET,BROOME STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473360,BICYCLE,PASSENGER VEHICLE,,,
06/30/2016,18:20,MANHATTAN,10033,40.8506819,-73.9375285,"(40.8506819, -73.9375285)",,,736 WEST 181 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473528,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,13:28,MANHATTAN,10006,40.7098381,-74.0148211,"(40.7098381, -74.0148211)",ALBANY STREET,WEST STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3476615,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,13:15,MANHATTAN,10065,40.7649175,-73.955157,"(40.7649175, -73.955157)",EAST 69 STREET,YORK AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473439,PASSENGER VEHICLE,BICYCLE,,,
06/30/2016,11:30,MANHATTAN,10011,40.7398611,-73.9950165,"(40.7398611, -73.9950165)",AVENUE OF THE AMERICAS,WEST 18 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3471926,PASSENGER VEHICLE,BICYCLE,,,
07/01/2016,20:55,MANHATTAN,10019,40.7672863,-73.9899062,"(40.7672863, -73.9899062)",,,815 10 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473423,PASSENGER VEHICLE,BICYCLE,,,
07/01/2016,20:30,MANHATTAN,10027,40.8121027,-73.949757,"(40.8121027, -73.949757)",WEST 128 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3475478,PASSENGER VEHICLE,BICYCLE,,,
07/01/2016,17:45,MANHATTAN,10011,40.744099,-73.9956441,"(40.744099, -73.9956441)",WEST 23 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3472971,VAN,BICYCLE,,,
05/27/2016,11:16,MANHATTAN,10028,40.7795851,-73.9618379,"(40.7795851, -73.9618379)",EAST 83 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3448401,PASSENGER VEHICLE,BICYCLE,,,
05/27/2016,0:05,MANHATTAN,10032,40.8378034,-73.9421411,"(40.8378034, -73.9421411)",WEST 163 STREET,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3448760,PASSENGER VEHICLE,BICYCLE,,,
05/28/2016,11:22,MANHATTAN,10019,40.7650854,-73.974871,"(40.7650854, -73.974871)",,,40 CENTRAL PARK SOUTH,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3446871,PASSENGER VEHICLE,BICYCLE,,,
05/29/2016,9:20,MANHATTAN,10023,40.7749093,-73.9769108,"(40.7749093, -73.9769108)",CENTRAL PARK WEST,WEST 70 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3448464,PASSENGER VEHICLE,BICYCLE,,,
05/29/2016,21:35,MANHATTAN,10039,40.8216382,-73.9390768,"(40.8216382, -73.9390768)",7 AVENUE,WEST 145 STREET,,3,0,0,0,1,0,2,0,Unspecified,Unspecified,,,,3448724,PASSENGER VEHICLE,BICYCLE,,,
05/29/2016,17:20,MANHATTAN,10038,40.7119717,-73.9977708,"(40.7119717, -73.9977708)",MADISON STREET,OLIVER STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3447613,PASSENGER VEHICLE,BICYCLE,,,
05/30/2016,19:30,MANHATTAN,10003,40.7365314,-73.9907516,"(40.7365314, -73.9907516)",UNION SQUARE WEST,EAST 16 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3447928,PASSENGER VEHICLE,BICYCLE,,,
05/30/2016,13:00,MANHATTAN,10014,40.7375662,-74.0099197,"(40.7375662, -74.0099197)",WEST STREET,WEST 12 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3447666,PASSENGER VEHICLE,BICYCLE,,,
05/31/2016,7:05,MANHATTAN,10028,40.7811876,-73.9606526,"(40.7811876, -73.9606526)",,,1044 5 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3452965,BICYCLE,PASSENGER VEHICLE,,,
05/31/2016,20:50,MANHATTAN,10022,40.7590196,-73.9646255,"(40.7590196, -73.9646255)",,,320 EAST 57 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3454329,PASSENGER VEHICLE,BICYCLE,,,
05/31/2016,18:20,MANHATTAN,10027,40.8133899,-73.9562587,"(40.8133899, -73.9562587)",WEST 125 STREET,AMSTERDAM AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3457607,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,18:24,MANHATTAN,10031,40.8254303,-73.9480487,"(40.8254303, -73.9480487)",,,503 WEST 145 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455805,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,17:20,MANHATTAN,10027,40.8106857,-73.954512,"(40.8106857, -73.954512)",MORNINGSIDE AVENUE,WEST 124 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3454412,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,16:00,MANHATTAN,10001,40.7515235,-73.9939473,"(40.7515235, -73.9939473)",WEST 33 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3452915,BICYCLE,PASSENGER VEHICLE,,,
06/02/2016,9:40,MANHATTAN,10010,40.7375463,-73.984083,"(40.7375463, -73.984083)",EAST 21 STREET,3 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3452897,PASSENGER VEHICLE,BICYCLE,,,
06/02/2016,23:15,MANHATTAN,10003,40.7334357,-73.9954897,"(40.7334357, -73.9954897)",WEST 10 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455239,PASSENGER VEHICLE,BICYCLE,,,
06/02/2016,22:50,MANHATTAN,10025,40.7995968,-73.9615988,"(40.7995968, -73.9615988)",,,63 WEST 107 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3454395,PASSENGER VEHICLE,BICYCLE,,,
06/02/2016,22:27,MANHATTAN,10019,40.763645,-73.9776872,"(40.763645, -73.9776872)",AVENUE OF THE AMERICAS,WEST 56 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455708,PASSENGER VEHICLE,BICYCLE,,,
06/02/2016,13:55,MANHATTAN,10001,40.7484685,-73.9924606,"(40.7484685, -73.9924606)",7 AVENUE,WEST 30 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455288,BICYCLE,PASSENGER VEHICLE,,,
06/02/2016,12:25,MANHATTAN,10000,40.7690154,-73.9728658,"(40.7690154, -73.9728658)",TRANSVERSE ROAD NUMBER ONE,EAST DRIVE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3454379,LARGE COM VEH(6 OR MORE TIRES),BICYCLE,,,
06/03/2016,21:30,MANHATTAN,10010,40.7410276,-73.9941612,"(40.7410276, -73.9941612)",AVENUE OF THE AMERICAS,WEST 20 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455669,PASSENGER VEHICLE,BICYCLE,,,
06/03/2016,21:16,MANHATTAN,10030,40.8190473,-73.9446864,"(40.8190473, -73.9446864)",WEST 139 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455823,PASSENGER VEHICLE,BICYCLE,,,
06/03/2016,19:17,MANHATTAN,10023,40.7729916,-73.9820779,"(40.7729916, -73.9820779)",COLUMBUS AVENUE,WEST 65 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3454921,PASSENGER VEHICLE,BICYCLE,,,
07/01/2016,11:30,MANHATTAN,10036,40.7573878,-73.9822554,"(40.7573878, -73.9822554)",WEST 46 STREET,AVENUE OF THE AMERICAS,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473429,PASSENGER VEHICLE,BICYCLE,,,
07/01/2016,0:01,MANHATTAN,10011,40.745208,-74.0022664,"(40.745208, -74.0022664)",WEST 21 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3472963,PASSENGER VEHICLE,BICYCLE,,,
07/02/2016,21:00,MANHATTAN,10021,40.7652358,-73.9549366,"(40.7652358, -73.9549366)",,,1301 YORK AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473459,PASSENGER VEHICLE,BICYCLE,,,
07/02/2016,18:45,MANHATTAN,10035,40.8050573,-73.9390342,"(40.8050573, -73.9390342)",EAST 125 STREET,PARK AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482877,PASSENGER VEHICLE,BICYCLE,,,
07/02/2016,18:00,MANHATTAN,10031,40.8270596,-73.9520112,"(40.8270596, -73.9520112)",WEST 145 STREET,RIVERSIDE DRIVE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3474807,PASSENGER VEHICLE,BICYCLE,,,
07/03/2016,3:50,MANHATTAN,10003,40.7274845,-73.9884654,"(40.7274845, -73.9884654)",,,104 2 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3474165,PASSENGER VEHICLE,BICYCLE,,,
07/03/2016,14:35,MANHATTAN,10012,40.7248254,-74.0016884,"(40.7248254, -74.0016884)",,,409 WEST BROADWAY,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3473352,PASSENGER VEHICLE,BICYCLE,,,
07/04/2016,11:16,MANHATTAN,10002,40.7153558,-73.9934023,"(40.7153558, -73.9934023)",CANAL STREET,ELDRIDGE STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3474160,PASSENGER VEHICLE,BICYCLE,,,
07/06/2016,21:50,MANHATTAN,10002,40.7185558,-73.9882,"(40.7185558, -73.9882)",DELANCEY STREET,ESSEX STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3488002,BICYCLE,PASSENGER VEHICLE,,,
07/07/2016,17:42,MANHATTAN,10016,40.7471531,-73.9854954,"(40.7471531, -73.9854954)",WEST 32 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3476929,PASSENGER VEHICLE,BICYCLE,,,
07/08/2016,11:40,MANHATTAN,10013,40.7169891,-73.9982468,"(40.7169891, -73.9982468)",,,195 CANAL STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478804,OTHER,BICYCLE,,,
07/09/2016,12:37,MANHATTAN,10032,40.8353094,-73.9439682,"(40.8353094, -73.9439682)",BROADWAY,WEST 159 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478963,PASSENGER VEHICLE,BICYCLE,,,
07/09/2016,0:05,MANHATTAN,10009,40.7264797,-73.9860916,"(40.7264797, -73.9860916)",,,100 1 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3476909,PASSENGER VEHICLE,BICYCLE,,,
07/10/2016,23:50,MANHATTAN,10030,40.8240317,-73.9447582,"(40.8240317, -73.9447582)",SAINT NICHOLAS AVENUE,WEST 145 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3479681,PASSENGER VEHICLE,BICYCLE,,,
07/10/2016,15:00,MANHATTAN,10001,40.7506806,-73.9908615,"(40.7506806, -73.9908615)",,,430 7 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478165,PASSENGER VEHICLE,BICYCLE,,,
07/11/2016,20:45,MANHATTAN,10014,40.7289889,-74.0093484,"(40.7289889, -74.0093484)",WEST HOUSTON STREET,WASHINGTON STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478143,PASSENGER VEHICLE,BICYCLE,,,
07/11/2016,10:10,MANHATTAN,10009,40.7284761,-73.9756966,"(40.7284761, -73.9756966)",EAST 14 STREET,AVENUE C,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478157,PASSENGER VEHICLE,BICYCLE,,,
07/12/2016,16:00,MANHATTAN,10003,40.7267792,-73.9889851,"(40.7267792, -73.9889851)",2 AVENUE,EAST 5 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3481768,PASSENGER VEHICLE,BICYCLE,,,
07/12/2016,15:50,MANHATTAN,10012,40.7245509,-74.0019338,"(40.7245509, -74.0019338)",WEST BROADWAY,SPRING STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478799,PASSENGER VEHICLE,BICYCLE,,,
07/13/2016,8:50,MANHATTAN,10036,40.7567104,-73.9864571,"(40.7567104, -73.9864571)",WEST 43 STREET,7 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3478865,PASSENGER VEHICLE,BICYCLE,,,
07/13/2016,22:53,MANHATTAN,10010,40.7384635,-73.9876408,"(40.7384635, -73.9876408)",,,254 PARK AVENUE SOUTH,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3481229,PASSENGER VEHICLE,BICYCLE,,,
07/14/2016,9:20,MANHATTAN,10013,40.7184575,-73.9948089,"(40.7184575, -73.9948089)",BOWERY,GRAND STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3480820,BICYCLE,OTHER,,,
07/14/2016,17:20,MANHATTAN,10010,40.7429104,-73.9928041,"(40.7429104, -73.9928041)",AVENUE OF THE AMERICAS,WEST 23 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3481233,PASSENGER VEHICLE,BICYCLE,,,
07/15/2016,8:57,MANHATTAN,10033,40.8520582,-73.9347764,"(40.8520582, -73.9347764)",BROADWAY,WEST 184 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482900,PASSENGER VEHICLE,BICYCLE,,,
07/15/2016,22:00,MANHATTAN,10035,40.7995194,-73.9222695,"(40.7995194, -73.9222695)",,,20 BRONX SHORE  ROAD,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3486585,BICYCLE,,,,
07/15/2016,20:00,MANHATTAN,10002,40.7194696,-73.9863745,"(40.7194696, -73.9863745)",,,137 RIVINGTON STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3480848,BICYCLE,PASSENGER VEHICLE,,,
07/15/2016,16:50,MANHATTAN,10040,40.8534996,-73.9306867,"(40.8534996, -73.9306867)",,,1555 SAINT NICHOLAS AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482903,PASSENGER VEHICLE,BICYCLE,,,
07/15/2016,16:45,MANHATTAN,10003,40.7347034,-73.9899255,"(40.7347034, -73.9899255)",,,10 UNION SQUARE EAST,4,0,0,0,1,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3480866,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,PASSENGER VEHICLE
07/15/2016,15:25,MANHATTAN,10010,40.737222,-73.9813911,"(40.737222, -73.9813911)",2 AVENUE,EAST 22 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482785,PASSENGER VEHICLE,BICYCLE,,,
07/16/2016,21:45,MANHATTAN,10006,40.7109059,-74.014457,"(40.7109059, -74.014457)",WEST STREET,LIBERTY STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3484210,OTHER,BICYCLE,,,
07/16/2016,12:00,MANHATTAN,10025,40.7979178,-73.9638463,"(40.7979178, -73.9638463)",COLUMBUS AVENUE,WEST 104 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482869,PASSENGER VEHICLE,BICYCLE,,,
07/18/2016,15:30,MANHATTAN,10033,40.8504894,-73.9368419,"(40.8504894, -73.9368419)",,,720 WEST 181 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483663,BICYCLE,PASSENGER VEHICLE,,,
07/18/2016,15:10,MANHATTAN,10021,40.7678026,-73.9559998,"(40.7678026, -73.9559998)",EAST 72 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483624,PASSENGER VEHICLE,BICYCLE,,,
07/18/2016,14:45,MANHATTAN,10028,40.7759231,-73.9531674,"(40.7759231, -73.9531674)",EAST 83 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483627,PASSENGER VEHICLE,BICYCLE,,,
07/18/2016,10:20,MANHATTAN,10002,40.7142689,-73.9941419,"(40.7142689, -73.9941419)",DIVISION STREET,FORSYTH STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3482762,PASSENGER VEHICLE,BICYCLE,,,
07/19/2016,9:26,MANHATTAN,10028,40.7789457,-73.962304,"(40.7789457, -73.962304)",EAST 82 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483623,PASSENGER VEHICLE,BICYCLE,,,
07/19/2016,20:50,MANHATTAN,10013,40.7221822,-74.0006566,"(40.7221822, -74.0006566)",BROOME STREET,MERCER STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3485163,PASSENGER VEHICLE,BICYCLE,,,
07/19/2016,18:30,MANHATTAN,10030,40.8178986,-73.9418188,"(40.8178986, -73.9418188)",,,2380 7 AVENUE,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483661,BICYCLE,PASSENGER VEHICLE,,,
07/19/2016,17:01,MANHATTAN,10038,40.7095313,-74.0084187,"(40.7095313, -74.0084187)",JOHN STREET,NASSAU STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3485161,PASSENGER VEHICLE,BICYCLE,,,
07/19/2016,15:30,MANHATTAN,10128,40.7825701,-73.9452114,"(40.7825701, -73.9452114)",1 AVENUE,EAST 95 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483612,PASSENGER VEHICLE,BICYCLE,,,
07/20/2016,20:30,MANHATTAN,10010,40.7434507,-73.988192,"(40.7434507, -73.988192)",WEST 26 STREET,5 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3486362,PASSENGER VEHICLE,BICYCLE,,,
07/20/2016,11:42,MANHATTAN,10002,40.716198,-73.9875367,"(40.716198, -73.9875367)",GRAND STREET,SUFFOLK STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483561,PASSENGER VEHICLE,BICYCLE,,,
07/20/2016,0:15,MANHATTAN,10028,40.7801763,-73.9571976,"(40.7801763, -73.9571976)",PARK AVENUE,EAST 86 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3483626,PASSENGER VEHICLE,BICYCLE,,,
07/21/2016,22:05,MANHATTAN,10013,40.7176614,-74.0075359,"(40.7176614, -74.0075359)",WEST BROADWAY,WORTH STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3486024,PASSENGER VEHICLE,BICYCLE,,,
07/21/2016,20:40,MANHATTAN,10011,40.7464925,-74.0013245,"(40.7464925, -74.0013245)",WEST 23 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3486335,PASSENGER VEHICLE,BICYCLE,,,
07/21/2016,14:10,MANHATTAN,10035,40.8030725,-73.9383714,"(40.8030725, -73.9383714)",EAST 123 STREET,LEXINGTON AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3486602,PASSENGER VEHICLE,BICYCLE,,,
07/21/2016,12:50,MANHATTAN,10014,40.7387549,-74.0054958,"(40.7387549, -74.0054958)",HUDSON STREET,HORATIO STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3484229,PASSENGER VEHICLE,BICYCLE,,,
